num_imputer__zip code (HigherEducationBySector),num_imputer__Distance to Allentown (Longitude),num_imputer__Distance to Reading (Longitude),num_imputer__Distance to Erie (Longitude),num_imputer__North,num_imputer__East,num_imputer__South,num_imputer__West,num_imputer__Central,cat_imputer__Institution,cat_imputer__Type (HigherEducationBySector),cat_imputer__County,cat_imputer__Address (HigherEducationBySector),cat_imputer__Sector and Type (HigherEducationBySector),cat_imputer__City (HigherEducationInstitutions)
17201.0,-2.182337099999998,-1.7323370999999952,2.431262899999993,0.0,0.0,1.0,0.0,1.0,374,1,25,23,4,136
18766.0,-0.4185734999999937,0.03142650000000913,4.195026499999997,1.0,1.0,0.0,0.0,0.0,373,1,36,187,4,136
17403.0,-1.2553984000000042,-0.8053984000000014,3.358201599999987,0.0,1.0,1.0,0.0,0.0,377,1,56,132,4,136
18974.0,0.39526100000000497,0.8452610000000078,5.008860999999996,0.0,1.0,1.0,0.0,0.0,376,1,41,182,4,136
19426.0,0.014551600000004328,0.46455160000000717,4.628151599999995,0.0,1.0,1.0,0.0,0.0,349,1,41,161,4,136
16172.0,-4.857289600000001,-4.407289599999999,-0.2436896000000104,0.0,0.0,0.0,1.0,1.0,357,1,33,113,4,136
17110.0,-1.3833252000000016,-0.9333251999999987,3.2302747999999895,0.0,1.0,0.0,0.0,1.0,372,0,19,122,3,136
18101.0,-0.0008813000000031934,0.44911869999999965,4.612718699999988,0.0,1.0,0.0,0.0,1.0,148,2,35,172,2,136
19437.0,0.23590950000000532,0.6859095000000082,4.849509499999996,0.0,1.0,1.0,0.0,0.0,102,1,41,47,4,136
16735.0,-1.621172781381425,-1.171172783526723,2.9924272144210775,1.0,0.0,0.0,1.0,0.0,201,2,38,200,7,136
18252.0,-0.5031065999999953,-0.053106599999992454,4.110493399999996,0.0,1.0,0.0,0.0,1.0,149,2,46,87,2,136
19604.0,-0.44036289999999667,0.009637100000006171,4.173237099999994,0.0,1.0,1.0,0.0,0.0,2,1,4,62,4,136
18440.0,-0.302681800000002,0.14731820000000084,4.310918199999989,1.0,1.0,0.0,0.0,0.0,135,1,31,5,4,136
18512.0,-0.14825679999999863,0.3017432000000042,4.465343199999992,1.0,1.0,0.0,0.0,0.0,252,0,31,35,8,136
19464.0,-0.18599129999999775,0.2640087000000051,4.427608699999993,0.0,1.0,1.0,0.0,0.0,173,0,41,20,0,136
19085.0,0.135540000000006,0.5855400000000088,4.749139999999997,0.0,1.0,1.0,0.0,0.0,351,1,20,183,4,136
19009.0,0.41207339999999704,0.8620733999999999,5.025673399999988,0.0,1.0,1.0,0.0,0.0,12,1,41,102,4,136
19422.0,0.19629310000000544,0.6462931000000083,4.8098930999999965,0.0,1.0,1.0,0.0,0.0,185,1,41,117,1,136
17101.0,-1.4105418000000043,-0.9605418000000014,3.2030581999999868,0.0,1.0,0.0,0.0,1.0,319,2,19,88,10,136
18940.0,0.5056013000000092,0.9556013000000121,5.1192013,0.0,1.0,1.0,0.0,0.0,20,1,7,96,1,136
16345.0,-1.62117278352674,-1.171172785865565,2.992427211897109,1.0,0.0,0.0,1.0,0.0,205,2,51,200,7,136
15904.0,-3.366368989999998,-2.916368989999995,1.247231009999993,0.0,0.0,1.0,1.0,1.0,229,1,9,21,1,136
17033.0,-1.1996329999999915,-0.7496329999999887,3.4139669999999995,0.0,1.0,0.0,0.0,1.0,257,0,19,170,8,136
15222.0,-4.530880400000001,-4.080880399999998,0.08271959999999012,0.0,0.0,1.0,1.0,0.0,279,1,1,80,4,136
15061.0,-4.837812,-4.387811999999997,-0.22421200000000852,0.0,0.0,0.0,1.0,0.0,65,1,3,1,1,136
15237.0,-4.5681498000000005,-4.118149799999998,0.04545019999999056,0.0,0.0,1.0,1.0,0.0,34,2,1,188,2,136
15122.0,-4.460351000000003,-4.010351,0.1532489999999882,0.0,0.0,1.0,1.0,0.0,35,2,1,67,2,136
18034.0,0.09402740000000165,0.5440274000000045,4.707627399999993,0.0,1.0,0.0,0.0,1.0,69,1,35,97,4,136
16101.0,-4.889098000000004,-4.439098000000001,-0.2754980000000131,0.0,0.0,0.0,1.0,1.0,25,2,33,101,2,136
15071.0,-4.717883799999996,-4.267883799999993,-0.10428380000000459,0.0,0.0,1.0,1.0,0.0,276,1,1,32,4,136
18701.0,-0.410696999999999,0.03930300000000386,4.202902999999992,1.0,1.0,0.0,0.0,0.0,169,2,36,74,2,136
18015.0,0.10015587000000892,0.5501558700000118,4.71375587,0.0,1.0,0.0,0.0,0.0,191,2,42,146,2,136
19610.0,-0.5037155499999955,-0.05371554999999262,4.109884449999996,0.0,1.0,1.0,0.0,0.0,233,0,4,68,8,136
15108.0,-4.740178299999997,-4.290178299999994,-0.12657830000000558,0.0,0.0,1.0,1.0,0.0,286,1,1,160,4,136
15317.0,-4.771753000000004,-4.321753000000001,-0.15815300000001287,0.0,0.0,1.0,1.0,0.0,30,2,53,166,2,136
19335.0,-0.27436903000000257,0.17563097000000027,4.3392309699999885,0.0,1.0,1.0,0.0,0.0,73,0,12,11,0,136
18848.0,-0.9739649999999926,-0.5239649999999898,3.6396349999999984,1.0,1.0,0.0,0.0,0.0,140,2,6,24,5,136
15501.0,-3.5518699,-3.101869899999997,1.0617300999999912,0.0,0.0,1.0,1.0,0.0,228,2,48,162,2,136
15068.0,-4.294539599999993,-3.8445395999999903,0.3190603999999979,0.0,0.0,1.0,1.0,0.0,365,2,55,34,2,136
19041.0,0.17151359999999727,0.6215136000000001,4.785113599999988,0.0,1.0,1.0,0.0,0.0,117,1,20,120,4,136
19141.0,0.33053600000000927,0.7805360000000121,4.944136,0.0,1.0,1.0,0.0,0.0,39,2,44,44,2,136
19087.0,0.089098000000007,0.5390980000000098,4.702697999999998,0.0,1.0,1.0,0.0,0.0,350,1,20,18,4,136
17057.0,-1.2756172999999933,-0.8256172999999905,3.3379826999999977,0.0,1.0,0.0,0.0,1.0,245,0,19,181,8,136
19063.0,0.08259590000000117,0.532595900000004,4.696195899999992,0.0,1.0,1.0,0.0,0.0,269,1,20,185,4,136
16354.0,-4.193576100000001,-3.7435760999999985,0.4200238999999897,1.0,0.0,0.0,1.0,0.0,338,0,17,144,8,136
18640.0,-0.319246899999996,0.13075310000000684,4.294353099999995,1.0,1.0,0.0,0.0,0.0,165,2,36,41,2,136
19103.0,0.29932449999999733,0.7493245000000002,4.912924499999988,0.0,1.0,1.0,0.0,0.0,186,1,44,72,4,136
18018.0,0.08914450000000329,0.5391445000000061,4.702744499999994,0.0,1.0,0.0,0.0,0.0,128,1,42,151,4,136
16353.0,-1.6211727834827343,-1.1711727858175927,2.992427211948879,1.0,0.0,0.0,1.0,0.0,210,2,24,200,7,136
16505.0,-4.665586300000001,-4.215586299999998,-0.05198630000001003,1.0,0.0,0.0,1.0,0.0,92,1,22,90,1,136
16407.0,-1.621172783185692,-1.1711727854937557,2.9924272122983524,1.0,0.0,0.0,1.0,0.0,195,2,22,200,7,136
18702.0,-0.40845249999999567,0.041547500000007176,4.205147499999995,1.0,1.0,0.0,0.0,0.0,136,1,36,48,4,136
15857.0,-1.6211727848496906,-1.1711727873078583,2.992427210340656,1.0,0.0,0.0,1.0,1.0,197,2,21,200,7,136
16546.0,-4.5824850999999995,-4.132485099999997,0.031114899999991508,1.0,0.0,0.0,1.0,0.0,177,1,22,142,4,136
16335.0,-4.673897699999998,-4.223897699999995,-0.06029770000000667,1.0,0.0,0.0,1.0,0.0,4,1,17,148,4,136
17042.0,-0.9517824999999931,-0.5017824999999903,3.661817499999998,0.0,1.0,1.0,0.0,1.0,108,0,34,175,0,136
19104.0,0.28175600000000145,0.7317560000000043,4.8953559999999925,0.0,1.0,1.0,0.0,0.0,327,1,44,199,4,136
19010.0,0.15248900000000276,0.6024890000000056,4.766088999999994,0.0,1.0,1.0,0.0,0.0,13,1,41,22,4,136
16407.0,-4.170123699999991,-3.720123699999988,0.4434763000000004,1.0,0.0,0.0,1.0,0.0,91,2,22,85,2,136
17055.0,-1.5334709999999916,-1.0834709999999887,3.0801289999999995,0.0,0.0,1.0,0.0,1.0,178,1,18,195,4,136
18508.0,-0.16812360000000126,0.2818764000000016,4.44547639999999,1.0,1.0,0.0,0.0,0.0,131,1,31,118,4,136
